KW
145.00
126.50
127.00
124.00
122.50
121.00
121.00
121.50
122.50
123.50
121.50
119.00
118.00
122.00
134.50
147.00
160.50
161.50
169.50
172.00
177.00
183.00
181.50
184.00
185.00
183.00
188.00
185.00
185.00
180.00
180.50
178.50
172.50
172.00
167.00
167.00
159.50
153.00
150.00
145.50
140.00
136.50
131.00
126.00
113.00
107.00
103.00
107.00
