KW
111.50
111.00
112.25
109.75
115.50
117.75
112.50
110.75
111.75
108.25
110.25
113.00
112.25
110.50
109.50
113.25
117.75
122.00
131.00
134.00
137.25
138.75
137.00
141.25
140.25
143.25
142.00
138.00
141.50
142.25
141.00
140.50
140.75
138.75
137.50
136.50
133.75
129.75
128.00
126.50
122.75
119.75
113.00
113.50
115.25
114.50
112.25
110.75
