KW
88.50
88.00
88.00
86.50
88.00
88.00
87.00
87.50
87.50
87.50
87.50
87.00
87.00
87.00
87.50
86.50
87.00
86.50
86.50
86.50
86.50
86.50
86.00
86.50
86.00
85.50
85.50
85.50
86.00
85.00
85.00
85.00
85.00
85.00
85.50
85.50
85.50
86.00
86.00
85.50
86.00
85.50
86.00
86.00
86.00
86.00
86.00
85.50
