KW
93.50
94.00
93.50
94.00
93.50
93.50
94.00
94.00
94.00
93.00
92.50
93.50
93.00
94.50
91.50
90.50
90.50
93.50
93.00
91.50
91.00
92.50
91.00
89.50
90.50
89.50
90.50
89.50
89.50
90.00
89.00
88.00
89.50
87.50
88.50
88.00
88.00
88.50
89.00
89.50
88.00
88.50
89.00
89.00
88.50
88.50
88.50
89.00
